#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-10-18T19:42:27 [V7.294]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.294	
#INFO	-ref=VIZ634efed233c530	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-sort=_r
#-nav=cat:J/MNRAS/504/356&tab:{J/MNRAS/504/356/table12}&key:source=J/MNRAS/504/356&HTTPPRM:&&-ref=VIZ634efed233c530&-file=.&-oc.form=sexa&-out.form=verb&-c.r=  2&-c.geom=r&-order=I&-out=Cluster&-out=RA_ICRS&-out=DE_ICRS&-out=r50&-out=N&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Plx&-out=e_Plx&-out=RV&-out=e_RV&-out=NRV&-out=Dist&-out=e_Dist&-out=logage&-out=e_logage&-out=[Fe/H]&-out=e_[Fe/H]&-out=Av&-out=e_Av&-out=FileName&-out=SimbadName&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/504/356/table12
#-order=I
#-out=Cluster
#N=>10
#-out=RV
#RV=!=null
#-out=e_RV
#NRV=>1
#-out=Dist
#Dist=!=null
#-out=e_Dist
#

#RESOURCE=yCat_75040356
#Name: J/MNRAS/504/356
#Title: Updated parameters of 1743 open clusters (Dias+, 2021)
#Coosys	H_2015.500:	ICRS
#Coosys	G:	galactic
#Table	J_MNRAS_504_356_table12:
#Name: J/MNRAS/504/356/table12
#Title: Results of mean astrometric parameters obtained using the Gaia DR2 stellar proper motion and parallaxes (table 1) and fundamental parameters obtained from the isochrone fits (table2)
#Column	_Glon	(F10.6)	Galactic longitude at Epoch=J2015.5, proper motions taken into account 	[ucd=pos.galactic.lon]
#Column	_Glat	(F10.6)	Galactic latitude at Epoch=J2015.5, proper motions taken into account 	[ucd=pos.galactic.lat]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RV	(F8.3)	? Cluster mean radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F7.3)	? rms uncertainty on pm RV	[ucd=stat.error]
#Column	Dist	(I4)	Cluster distance	[ucd=pos.distance]
#Column	e_Dist	(I4)	rms uncertainty on Dist	[ucd=stat.error]
_Glon;_Glat;Cluster;RV;e_RV;Dist;e_Dist
308.648241;-03.825458;Collinder_277    ; -27.776;  0.425;1395;  26
351.729322;-03.235879;Collinder_338    ; -24.450;  2.591; 650;  14
026.934345;+14.852970;Collinder_350    ; -14.665;  1.309; 356;  10
030.494884;+12.090759;Collinder_359    ;   8.441;  3.245; 552;   4
014.861278;-09.239211;Collinder_394    ;  21.626;  5.861; 692;  17
078.112507;+02.787144;Collinder_419    ;   9.371;  6.618;1000;  44
079.457748;+02.519977;Collinder_421    ;   2.537;  0.308;1141;  28
127.359611;+09.384381;Collinder_463    ; -15.096;  0.396; 829;  12
195.117220;-12.054054;Collinder_69     ;  27.403;  3.949; 400;   1
199.015881;-10.380385;Collinder_74     ;  20.199;  0.797;2153; 144
201.811047;+00.055812;Collinder_95     ;   8.726;  0.595; 676;  14
138.093137;-04.726837;Czernik_12       ; -19.127;  1.156;1780;  64
140.936800;+00.926155;Czernik_14       ; -55.530;  0.769;3067; 189
171.892887;+00.454467;Czernik_21       ;  45.770;  1.577;4269; 725
180.536289;+00.810670;Czernik_23       ;  14.314;  0.471;3102; 221
002.207340;-00.646532;Czernik_37       ; -19.527;  0.820;1872; 147
038.648014;-01.626642;Czernik_39       ;  47.993;  0.968;3156; 425
062.028971;-00.695568;Czernik_41       ; -13.400;  0.529;2620; 212
135.425623;-00.488274;Czernik_9        ; -46.830;  0.471;2556; 312
019.587062;-01.031918;Dias_6           ;   2.188;  1.174;2399; 196
047.152994;-02.099575;Dolidze_35       ;  22.577;  0.174;2334;  98
077.143656;+01.679131;Dolidze_5        ; -20.381;  0.316;2005; 123
080.065964;+02.691035;Dolidze_8        ;  -2.968;  3.623; 942;  27
299.367723;+03.025144;ESO_130_13       ;  -6.423;  1.167;2144;  87
355.053859;+12.456597;ESO_518_03       ;  22.395;  0.509;1518;  62
045.932935;+01.065382;FSR_0123         ;  23.998;  1.166;3756; 163
064.125090;-01.287755;FSR_0165         ;   5.444;  0.598;2414; 189
081.228243;+08.038660;FSR_0241         ;  -1.102;  1.251;2076; 124
087.860975;+06.821071;FSR_0278         ;  -6.942;  0.582;1603;  32
092.500595;-00.277507;FSR_0296         ; -50.454;  1.928;2495; 760
094.247185;+00.492777;FSR_0306         ; -34.621;  0.415;2172; 245
099.088840;+00.958581;FSR_0336         ; -26.583;  0.376;2312; 189
099.757375;-02.232742;FSR_0342         ; -44.058;  1.890;2554; 196
106.957015;+00.128483;FSR_0385         ; -54.144;  0.911;2063; 121
120.219693;+01.276009;FSR_0496         ; -22.782;  0.456;1515;  94
123.623966;-00.746195;FSR_0524         ; -79.419;  3.715;3594; 711
128.228551;+02.159202;FSR_0553         ; -49.098;  1.341;2225; 186
135.149504;-01.805401;FSR_0591         ; -72.562;  0.864;2930;  52
151.154830;-00.688261;FSR_0667         ;   1.838;  0.233;1100;  51
169.416327;+03.655684;FSR_0761         ; -27.299;  1.923;2485; 312
172.242569;-05.669550;FSR_0771         ;  -3.464;  0.302;1435;  86
183.514372;-02.290848;FSR_0850         ;  16.987;  0.759;1921; 121
186.320500;+13.843860;FSR_0866         ;  65.554;  0.757;1215;  29
189.535196;+01.868571;FSR_0893         ;  39.182;  0.415;1888; 164
191.029989;-00.752230;FSR_0904         ;  14.007;  1.575;1967;  97
196.629968;+00.359555;FSR_0951         ;  41.857;  1.239;1611;  55
199.626435;+01.597505;FSR_0974         ;  52.462;  0.540;3331; 262
200.169053;+01.118734;FSR_0977         ;  23.464;  0.713;1776;  86
200.783647;+00.620575;FSR_0979         ;  28.331;  1.244;2699; 410
213.245267;+08.421802;FSR_1083         ;  98.162;  2.251;4290; 375
224.083627;+01.001150;FSR_1180         ;  62.183;  1.283;2473;  79
233.237977;-00.916096;FSR_1253         ;  85.882;  0.948;3830; 368
243.213436;-00.619284;FSR_1315         ;  61.961;  0.294;4111; 334
251.564040;-05.027045;FSR_1361         ;  66.225;  0.912;2075;  99
261.513641;+06.229923;FSR_1402         ;  62.545;  0.762;3841; 561
261.968286;+12.538271;FSR_1407         ;  18.894;  1.285;3158; 142
265.719656;-03.538773;FSR_1443         ;  37.746;  1.384;3303; 157
309.055777;+02.080996;FSR_1663         ; -28.822;  5.727;2921; 167
208.130891;-07.937448;Ferrero_11       ;  32.239;  4.228; 774;   9
286.510488;+01.799150;Gulliver_1       ; -17.606;  1.164;2721; 164
255.728696;-02.595333;Gulliver_10      ;  33.422;  3.976; 521;  30
225.649854;-04.246153;Gulliver_13      ;  56.889;  0.667;1501; 129
065.522510;-03.990475;Gulliver_18      ;  -8.910;  0.304;1420;  79
038.835938;+13.112549;Gulliver_20      ; -14.879;  2.984; 422;   3
237.520348;-07.952909;Gulliver_21      ;  43.392;  1.172; 647;  12
075.758239;+01.454285;Gulliver_23      ;  -2.970;  1.607;3113; 254
172.056940;-00.609669;Gulliver_26      ;   2.559;  0.976;2554; 273
277.643465;-00.698612;Gulliver_27      ;  18.368;  0.860;2530;  86
053.819434;-00.956210;Gulliver_28      ;   1.823;  3.512; 590;  14
287.984296;+01.394476;Gulliver_39      ; -15.852;  1.405;2389; 134
254.374331;-02.520389;Gulliver_4       ;  52.425;  0.398;2672; 305
257.137598;+00.439069;Gulliver_44      ;  14.738;  0.489;1155;  26
299.828823;+00.738019;Gulliver_46      ; -37.220;  0.678;3185; 246
214.492782;+04.885701;Gulliver_47      ;  47.521;  0.338;1822;  49
056.339344;-04.131421;Gulliver_55      ;  24.333;  2.154;2517; 169
271.318857;+01.691320;Gulliver_57      ;   5.416;  0.920;1321;  49
302.294752;+00.893139;Gulliver_58      ;   9.860;  0.622;2284; 118
205.251128;-18.143488;Gulliver_6       ;  32.044;  4.540; 413;   4
264.848567;-05.505231;Gulliver_9       ;  29.621;  3.034; 477;   7
242.393508;-03.531838;Haffner_11       ;  98.935;  0.925;4886; 228
245.045129;-03.630304;Haffner_13       ;  33.885;  6.225; 561;   4
243.985067;-02.081989;Haffner_14       ;  70.045;  0.916;3062; 113
247.696562;-02.529313;Haffner_17       ;  41.865;  0.519;2949; 272
246.772885;+03.369625;Haffner_22       ;  33.086;  0.602;2702;  91
249.618522;+02.326521;Haffner_26       ;  55.051;  0.792;2519; 135
219.825534;+00.013180;Haffner_3        ;  54.428;  0.513;2329;  81
236.054810;-04.637469;Haffner_5        ;  -7.181;  0.359;1588;  57
227.865782;+00.225682;Haffner_6        ;  69.560;  2.121;3860; 134
227.486925;+01.296075;Haffner_8        ;  61.879;  0.404;2508; 124
329.890206;-03.354904;Harvard_10       ; -15.368;  5.423; 687;  12
339.618864;-04.052819;Harvard_13       ;  -3.499;  0.791;1089;  19
314.900511;-00.858660;Hogg_17          ; -43.793;  0.323;2174; 130
337.946678;-01.446110;Hogg_21          ;  -2.217;  1.298;2311; 105
279.465852;+00.146913;Hogg_4           ;  26.578;  1.574;3706; 167
077.700763;+04.181199;IC_1311          ; -61.041;  0.830;6686; 418
089.600046;-00.394664;IC_1369          ; -47.338;  1.030;2812; 202
099.341689;+03.792705;IC_1396          ; -11.537;  4.511; 914;  14
099.950268;-02.681912;IC_1434          ; -60.435;  1.157;2802; 325
130.052547;-00.168734;IC_166           ; -40.303;  0.503;5371; 245
137.246619;+00.929632;IC_1848          ; -57.452;  0.316;2004;  68
270.427528;-06.700044;IC_2391          ;  15.204;  1.577; 150;   1
266.540870;-03.647717;IC_2395          ;  19.065;  1.419; 710;   6
277.818651;-04.456298;IC_2488          ;  -3.269;  0.218;1271;  31
289.486377;-04.987974;IC_2602          ;  16.806;  1.829; 152;   1
292.401335;-01.775366;IC_2714          ; -13.184;  0.351;1229;  16
160.471884;-17.790051;IC_348           ;  21.013;  2.952; 321;   3
147.508749;+05.666020;IC_361           ; -29.978;  1.771;3408;  93
340.106394;-07.901862;IC_4651          ; -30.029;  0.957; 920;  15
030.481656;+17.039087;IC_4665          ; -14.142;  4.351; 329;  15
013.702757;-04.424999;IC_4725          ;  10.314;  0.792; 638;  13
036.301330;+05.332848;IC_4756          ; -24.563;  0.783; 472;   1
094.368758;-05.517352;IC_5146          ;  -0.977;  6.083; 657;  34
047.723753;-00.997071;Juchert_1        ;  33.342;  1.727;3586;1055
297.532415;-01.750014;Juchert_13       ;  -6.596;  0.487;2616; 418
118.543131;-02.605355;Juchert_Saloran_1; -76.907;  0.487;5146;1268
186.623193;+02.141374;Kharchenko_1     ;  41.530;  0.760;2299; 146
119.735592;+01.685400;King_1           ; -53.284;  0.778;1646;  90
117.152969;+06.481393;King_11          ; -34.755;  0.539;2930; 100
117.983819;-01.299690;King_13          ; -61.086;  1.648;3124; 141
120.754949;-00.938638;King_15          ; -62.087;  0.765;2672; 157
107.784017;-01.029998;King_18          ; -62.151;  0.520;2374; 146
110.569325;+00.155759;King_19          ; -60.103;  1.628;2517; 109
217.301689;+06.302710;King_23          ;  54.093;  0.452;3101;  75
048.854924;-00.930164;King_25          ;  13.250;  0.677;2357; 190
143.766289;-04.284698;King_5           ; -43.520;  0.901;2172; 132
143.347998;-00.098116;King_6           ; -22.136;  7.344; 704;  14
149.796415;-01.021388;King_7           ;  -9.469;  0.590;2594; 360
318.973112;-01.838240;LP_0140          ; -33.101;  0.670;2504; 165
249.074069;+00.138474;LP_0204          ;  68.358;  0.868;3484; 501
319.612401;-00.003940;LP_0265          ; -63.053;  0.751;2017; 336
355.798702;-01.444543;LP_0282          ;   8.390;  0.335;1953; 331
011.379571;-00.896881;LP_0288          ;   6.880;  0.502;2070; 475
056.214449;-00.087251;LP_0313          ;  29.891;  0.878;2237; 179
086.035383;-00.676614;LP_0341          ; -37.841;  0.901;2692; 242
092.778997;-00.861951;LP_0344          ; -41.093;  0.240;1908; 146
194.564606;+03.084727;LP_0368          ;  48.980;  0.903;3055; 129
215.810295;+01.579832;LP_0373          ;  68.222;  1.103;3115;  90
329.880296;+00.504950;LP_0434          ; -45.963; 17.023;2526; 138
340.535825;+01.110901;LP_0436          ; -49.177;  1.071;2680; 332
028.333074;+00.733770;LP_0458          ;  15.034;  0.671;1613; 191
084.964263;+02.519393;LP_0506          ; -26.189;  0.810;2165; 134
241.925688;-05.135112;LP_0672          ;  65.086;  0.721;3825; 340
282.721689;-04.376905;LP_0676          ;  -0.555;  0.922;2411; 148
234.607064;-02.208202;LP_0733          ;  56.303;  0.573;2706; 188
280.730160;-02.458508;LP_0780          ;   8.315;  1.050;2136; 163
284.074596;-01.978930;LP_0782          ;  17.051;  1.239;2509; 244
349.114739;-02.403887;LP_0866          ; -13.185;  1.132;2233; 181
246.593570;-00.017320;LP_0942          ;  68.405;  0.913;3125; 457
287.410984;-01.025522;LP_1049          ;  25.196;  0.860;3098; 135
296.615981;-00.774569;LP_1115          ; -17.940;  0.504;3868; 208
315.398892;-00.796768;LP_1174          ; -61.452;  0.720;3560; 287
353.975760;-00.757801;LP_1199          ; -12.020;  0.330;3297; 577
006.696914;-01.098012;LP_1211          ;  -0.076;  0.342;2389; 186
027.781959;-01.499392;LP_1235          ;  13.375;  1.369;1744;  50
032.684811;-00.444935;LP_1241          ;  41.792;  0.304;3369; 334
056.984205;-01.557391;LP_1281          ;  15.519;  0.572;3345; 276
085.875699;-00.088977;LP_1306          ; -41.884;  0.814;3031; 311
128.853147;-00.805268;LP_1329          ; -64.162;  0.457;2817;  69
129.769352;-01.613468;LP_1332          ; -56.742;  0.635;2697;  65
127.959094;-00.774174;LP_1342          ; -44.320;  0.382;2761; 301
130.941991;-01.331147;LP_1352          ; -73.739;  0.384;2392; 200
139.893651;-00.661859;LP_1355          ; -56.181;  1.055;2731; 158
166.296009;-00.616929;LP_1367          ;  -9.926;  0.855;3267; 152
185.422523;+01.984502;LP_1370          ;  18.355;  2.663;3369; 229
181.880405;+03.054982;LP_1372          ;  13.374;  0.641;3100; 244
184.442556;+02.719776;LP_1374          ;  -4.654;  0.485;3376; 294
195.548883;+03.130150;LP_1381          ;  55.057;  1.195;3270; 116
206.189041;+01.741592;LP_1388          ;  63.797;  1.017;3725; 513
207.490399;+01.720998;LP_1390          ;  71.588;  0.573;3191; 223
210.835230;+00.366245;LP_1392          ;  74.161;  0.942;3846; 312
211.171451;+00.761309;LP_1393          ;  64.060;  1.179;3741;  99
211.773644;+01.253342;LP_1394          ;  58.299;  0.731;3178; 293
219.891914;+01.294905;LP_1398          ;  68.649;  0.742;3705; 102
229.808324;+02.009846;LP_1401          ;  83.762;  0.559;3909; 201
226.812602;+01.147573;LP_1406          ;  53.149;  0.859;2480; 199
226.869274;+01.318497;LP_1407          ;  84.127;  1.719;3561; 364
236.699084;+01.624531;LP_1420          ;  58.332;  0.363;3240; 132
240.221715;+02.600899;LP_1422          ;  86.116;  0.643;3373;  48
245.565571;+00.268250;LP_1429          ;  78.594;  1.756;3471; 108
246.188628;+01.238597;LP_1431          ;  36.306;  0.560;2515; 122
252.050563;+00.898795;LP_1437          ;  64.672;  0.931;3631; 182
252.526432;+00.449248;LP_1441          ;  55.980;  1.303;3540; 286
343.161010;-02.219130;LP_145           ; -11.264;  0.937;1806; 102
250.607513;+01.144450;LP_1454          ;  64.289;  0.672;3998; 403
247.768747;+01.668551;LP_1457          ;  73.665;  1.010;3843; 152
273.958037;+01.301358;LP_1482          ;  18.781;  2.524;3184; 147
285.303647;-00.287347;LP_1490          ;   0.334;  2.080;2449; 112
291.597303;+01.563140;LP_1540          ;  24.983;  0.934;2365;  87
296.563678;-00.070481;LP_1582          ; -12.564;  1.711;4151; 147
299.356363;-00.132007;LP_1599          ; -23.033;  1.447;3481; 214
006.273799;+00.502381;LP_1625          ;  22.824;  0.556;3114; 432
021.634581;-00.290701;LP_1641          ;  33.852;  0.616;3397; 325
048.376807;+00.953776;LP_1692          ;  31.952;  1.401;3926; 368
066.720361;+00.568051;LP_1725          ;   1.728;  0.923;3565; 360
066.486796;+00.937297;LP_1728          ;   1.422;  0.627;3806; 235
074.847843;+01.347057;LP_1759          ; -37.433;  3.801;3142; 705
076.330873;+02.226116;LP_1764          ; -38.810;  0.959;3924; 180
084.594250;+01.993184;LP_1768          ; -29.662;  0.762;2525; 259
088.506436;-00.213633;LP_1775          ; -37.612;  0.768;2804;  38
087.565168;-00.021770;LP_1777          ; -39.365;  1.070;3776; 239
